Year,Ticker,Actual,Futures,DPS_lag1,DPS_growth,EPS_lag1,EPS_growth,Revenue_growth,FCFPS_lag1
2024,ABI BB,82,103.9,75,1.179273708,2.6,1.556114033,1.032473628,0.1492
2023,ABI BB,75,69.9,50,1.144714243,2.91,0.8628426335,1.081968064,-0.4214
2022,ABI BB,50,74.4,50,0.65247794,2.28,1.016619349,1.033618005,1.0116
2021,ABI BB,50,50,50,0.56312394,0.69,0.5575990257,1.007875076,-1.0914
2020,ABI BB,50,178,180,0.517872084,4.53,1.854726816,0.9399967699,-0.1522
2019,ABI BB,180,175,280,0.793700526,2.17,0.759147243,1.047585797,-0.8447
2018,ABI BB,280,357,360,0.919641392,3.98,0.8956213458,1.067485024,2.581
2017,ABI BB,360,349,360,1.136873488,0.71,0.4334249967,1.062460334,-2.8218
2016,ABI BB,360,280,360,1.161069513,4.96,1.040741805,1.017606918,-0.1535
2015,ABI BB,360,252,245,1.650963624,5.54,1.156668511,1.031257849,-0.1941
2014,ABI BB,245,220,230,1.861204794,8.72,1.516557305,1.064227195,-0.0392
2024,AD NA,111,108.1,108,1.040041912,2.1,1.121186024,1.039690302,0.5564
2023,AD NA,108,96.3,98,0.9932883884,2.68,1.146141569,1.072873233,0.476
2022,AD NA,98,96.4,83,1.09625734,2.57,1.132365473,1.064186854,-0.4033
2021,AD NA,83,94,96,1.189776699,1.49,0.9725018092,1.062945017,0.6374
2020,AD NA,96,74.5,100,0.8205539524,1.78,1.255237285,1.105069493,0.8641
2019,AD NA,100,93,63,1.094879785,1.77,1.138319057,1.204958845,0.6518
2018,AD NA,63,61,57,0.7207614264,1.62,1.25992105,1.177271852,0.0681
2017,AD NA,57,52,181,1.602293113,0.9,0.6365106787,1.082747021,-0.0804
2016,AD NA,181,,48,1.182899223,1.2,1.011364609,1.00145002,0.1511
2015,AD NA,48,,152.23,1.877546941,0.81,0.8274015443,1.010987055,-0.9305
2014,AD NA,152.23,,44,1.347080007,3.49,1.452023099,1.033756872,1.1897
2024,ADS GY,70,46.8,70,0.6761036932,-0.23,0,1.007321674,9.9075
2023,ADS GY,70,122,330,0.9949999165,1.76,0.6798945297,0.9639838612,-11.2292
2022,ADS GY,330,343.8,300,1.048856246,6.45,1.090773157,0.9901145884,4.9331
2021,ADS GY,300,130,0,0,1.26,0.7455881332,0.9816670983,-3.0416
2020,ADS GY,0,370,335,1.279307487,5.6,1.265978456,1.074427977,0.3455
2019,ADS GY,335,317.5,260,1.2012333,4.97,1.41613975,1.112803968,3.2959
