Ticker,MAE,RMSE,MAPE(%),Horizon,Window
ABI BB,55.643416691393256,79.68637466238653,64.58329170358634,1,10
AD NA,35.84565254027741,47.08564033800497,38.69735205397309,1,10
ADS GY,160.4862397225782,201.08259749159035,88.26486620000082,1,10
AI FP,7.773430089308374,9.835177656727234,2.6575940331466312,1,10
AIR FP,57.071298130748936,78.15875524016693,28.89169474825415,1,10
ALV GY,98.7128544135336,112.77851550270064,10.222590898057085,1,10
ASML NA,130.48735591072986,167.91976422008298,33.37739032532721,1,10
BAS GY,22.90480517424145,38.721321447252755,8.72187080635822,1,10
BAYN GY,49.87304014802641,81.92505452137291,249.10311069379603,1,10
BBVA SQ,13.03541671327822,15.77676717365772,41.165319099665254,1,10
BMW GY,244.0364119617951,355.60239549238133,42.482058010844234,1,10
BN FP,10.298934109476203,12.637674380620163,5.455109069176674,1,10
BNP FP,130.8634777858508,172.76805090836325,34.744388094614095,1,10
CS FP,23.392454251667644,27.216496738434838,19.475752242255844,1,10
DB1 GY,19.811800115054474,21.325795374390882,6.871829156829354,1,10
DG FP,70.65315795489175,80.13831156779666,28.549292597362186,1,10
DHL GY,14.354096876262826,19.99408037264033,10.036471687132368,1,10
DTE GY,6.8527899773301275,7.072658642384277,10.281675307426763,1,10
EL FP,59.27905035718648,71.90425571587063,31.07127813311312,1,10
ENEL IM,3.838487920596571,4.6038483156487615,13.791720938309743,1,10
ENI IM,14.527978853976032,20.172327676003995,22.888936572693435,1,10
IBE SQ,5.314970171898132,6.365979581641149,13.656900679572892,1,10
IFX GY,3.4901086652345805,3.9111393578605713,14.120661469713507,1,10
INGA NA,27.9789450650916,39.17827848954473,31.85698962570147,1,10
ISP IM,9.946235348402821,11.400906011187336,46.34734369561638,1,10
ITX SQ,46.2623523049268,47.528474012015344,43.24706042906675,1,10
MBG GY,106.93689556881043,155.21893786899983,53.406851316441696,1,10
MC FP,264.0829537456733,332.48603026266704,30.595746854695143,1,10
MUV2 GY,106.34260228109383,137.7797138906235,8.769109602906722,1,10
NOKIA FH,8.70587181083607,11.514151669549591,67.32224226871878,1,10
OR FP,39.50792902897756,44.912895637489356,9.122175806968476,1,10
RHM GY,110.59051258787355,114.07373839802028,18.57444138065857,1,10
RI FP,70.35991234406788,96.93171272486839,25.32990239898235,1,10
RMS FP,393.64920245515054,566.2800968365407,42.479763552684055,1,10
SAF FP,77.9047261093765,89.38553177581333,54.87225547690554,1,10
SAN FP,8.35166136547313,8.857248705942292,2.5990261540051205,1,10
SAN SQ,7.190117831636338,9.565656091797088,42.76124052204993,1,10
SAP GY,30.468221155782658,42.87137551463806,16.160347447050942,1,10
SGO FP,50.04581689208227,75.7833790907094,25.655967527097516,1,10
SIE GY,31.402301124201255,34.20336289372261,7.700849472290999,1,10
SU FP,16.16816901276153,18.413477844158788,6.280609963249417,1,10
TTE FP,29.57252882289476,41.975061415854896,9.969207643056917,1,10
UCG IM,47.0810254739214,70.06951672484779,67.97168124177593,1,10
VOW3 GY,568.7953773004775,858.6218074483824,313.28460438277034,1,10
WKL NA,25.33630613942018,34.34309636127548,17.88020306768551,1,10
Overall,73.67170871787263,99.5128318232584,39.13997276336862,1,10
