Ticker,Year,Actual,Forecast,Error,Absolute_Error,APE,,,,
ABI BB,2016,360,299.6745713,-60.32542873,60.32542873,0.167570635,,,178.8071,2024
ABI BB,2017,360,360,-1.71E-13,1.71E-13,4.74E-16,,,172.3005,2023
ABI BB,2018,280,360,80,80,0.285714286,,,132.7815,2022
ABI BB,2019,180,316.2569336,136.2569336,136.2569336,0.756982964,,,94.5524,2021
ABI BB,2020,50,223.5737512,173.5737512,173.5737512,3.471475025,,,82.838,2020
ABI BB,2021,50,112.328253,62.32825304,62.32825304,1.246565061,,,97.538,2019
ABI BB,2022,50,50,0,0,0,,,95.376,2018
ABI BB,2023,75,50,-25,25,0.333333333,,,81.351,2017
ABI BB,2024,82,85.27538193,3.275381927,3.275381927,0.039943682,,,,
ABI BB,2025,100,84.32558161,-15.67441839,15.67441839,0.156744184,,,,
AD NA,2016,181,64.35574879,-116.6442512,116.6442512,0.644443377,,,,
AD NA,2017,57,114.4876545,57.48765452,57.48765452,1.008555342,,,,
AD NA,2018,63,89.73810904,26.73810904,26.73810904,0.424414429,,,,
AD NA,2019,100,60.6405263,-39.3594737,39.3594737,0.393594737,,,,
AD NA,2020,96,83.84548574,-12.15451426,12.15451426,0.126609524,,,,
AD NA,2021,83,98.08234828,15.08234828,15.08234828,0.18171504,,,,
AD NA,2022,98,82.72510869,-15.27489131,15.27489131,0.155866238,,,,
AD NA,2023,108,85.06866612,-22.93133388,22.93133388,0.212327166,,,,
AD NA,2024,111,99.91028636,-11.08971364,11.08971364,0.09990733,,,,
AD NA,2025,67,108.6942356,41.69423557,41.69423557,0.622302023,,,,
ADS GY,2016,160,150,-10,10,0.0625,,,,
ADS GY,2017,200,159.3015862,-40.69841379,40.69841379,0.203492069,,,,
ADS GY,2018,260,197.0047476,-62.99525239,62.99525239,0.242289432,,,,
ADS GY,2019,335,255.8414893,-79.15851074,79.15851074,0.236294062,,,,
ADS GY,2020,0,336.9064522,336.9064522,336.9064522,,,,,
ADS GY,2021,300,0.166882309,-299.8331177,299.8331177,0.999443726,,,,
ADS GY,2022,330,4.082679375,-325.9173206,325.9173206,0.987628244,,,,
ADS GY,2023,70,315.7871958,245.7871958,245.7871958,3.511245655,,,,
ADS GY,2024,70,143.5661339,73.5661339,73.5661339,1.05094477,,,,
